date,open,high,low,close,volume,ROC,SMA,RSI,Real Upper Band,Real Middle Band,Real Lower Band
2023-05-30 09:00:00,267.5,268.0,267.01,267.295,35192.0,0.6154,267.4698,60.3678,269.55276291304267,267.4698,265.38683708695737
2023-05-30 09:15:00,267.295,267.55,264.12,265.11,114877.0,-0.2446,267.4372,46.7354,269.784125504074,267.4372,265.09027449592605
2023-05-30 09:30:00,265.25,268.65,262.75,265.8,3589455.0,-0.2627,267.4022,50.4546,269.92698895997927,267.4022,264.8774110400207
2023-05-30 09:45:00,265.71,266.75,262.92,265.082,1633205.0,-0.6439,267.3164,46.8699,269.8243711506381,267.3164,264.80842884936186
2023-05-30 10:00:00,265.13,266.86,264.32,266.086,1298151.0,-0.4691,267.2536,51.9,269.7810867020966,267.2536,264.7261132979034
2023-05-30 10:15:00,266.11,266.17,264.73,265.008,931613.0,-0.8315,267.1426,46.8833,269.6571311548459,267.1426,264.62806884515413
2023-05-30 10:30:00,265.06,265.37,264.33,264.73,820721.0,-1.017,267.0066,45.6846,269.5704801096015,267.0066,264.4427198903985
2023-05-30 10:45:00,264.7,265.93,264.53,265.52,831555.0,-0.8366,266.8946,49.5436,269.5572252788319,266.8946,264.23197472116817
2023-05-30 11:00:00,265.5,265.79,265.134,265.53,550048.0,-0.9845,266.7626,49.5913,269.5271278809797,266.7626,263.9980721190203
2023-05-30 11:15:00,265.55,265.885,264.21,264.851,558199.0,-1.2045,266.6011,46.4513,269.2991943873117,266.6011,263.9030056126883
2023-05-30 11:30:00,264.85,265.67,264.49,265.25,460995.0,-0.9226,266.4776,48.4695,269.2094677309583,266.4776,263.7457322690417
2023-05-30 11:45:00,265.24,266.701,265.19,265.935,699143.0,-0.3765,266.4274,51.7555,269.14953255990963,266.4274,263.7052674400903
2023-05-30 12:00:00,265.965,266.48,265.47,266.397,637480.0,-0.2893,266.3887,53.8451,268.96403558570205,266.3887,263.8133644142979
2023-05-30 12:15:00,266.36,267.04,265.55,265.55,731333.0,-0.5952,266.3092,49.6917,268.6389453124942,266.3092,263.9794546875058
2023-05-30 12:30:00,265.56,265.62,264.52,264.77,413428.0,-1.1831,266.1507,46.2346,268.1829996348678,266.1507,264.1184003651321
2023-05-30 12:45:00,264.77,265.85,264.71,265.82,434892.0,-0.8985,266.0302,51.0593,267.9389990848266,266.0302,264.12140091517335
2023-05-30 13:00:00,265.85,265.92,264.65,264.76,362982.0,-1.5103,265.8272,46.6142,267.4440928776558,265.8272,264.2103071223442
2023-05-30 13:15:00,264.76,264.847,264.0,264.16,377713.0,-1.543,265.6202,44.3155,266.9437571086732,265.6202,264.2966428913268
2023-05-30 13:30:00,264.15,264.425,263.02,263.16,631995.0,-1.5341,265.4152,40.7868,266.5840640814791,265.4152,264.24633591852097
2023-05-30 13:45:00,263.14,263.145,261.75,261.844,635069.0,-2.1107,265.1329,36.7349,266.2670473629877,265.1329,263.99875263701233
2023-05-30 14:00:00,261.85,262.17,261.29,261.73,603788.0,-2.082,264.8547,36.4051,265.957725064812,264.8547,263.75167493518796
2023-05-30 14:15:00,261.7,263.27,261.64,263.175,469914.0,-0.7299,264.7579,43.2078,265.7195916935726,264.7579,263.7962083064274
2023-05-30 14:30:00,263.19,264.39,263.17,264.35,460431.0,-0.5455,264.6854,47.9715,265.64643601263435,264.6854,263.7243639873657
2023-05-30 14:45:00,264.36,264.42,263.65,263.757,496039.0,-0.4998,264.6192,45.9251,265.4641106607196,264.6192,263.77428933928036
2023-05-30 15:00:00,263.75,264.01,263.27,263.42,394995.0,-1.0019,264.4859,44.7823,265.20337458665267,264.4859,263.76842541334736
