date,open,high,low,close,volume,ROC,SMA,RSI,Real Upper Band,Real Middle Band,Real Lower Band
2023-05-30 09:00:00,336.65,336.8,336.45,336.72,36329.0,0.3038,336.7005,58.4437,337.4758,336.7005,335.9252
2023-05-30 09:15:00,336.63,337.0,334.8,335.21,99194.0,-0.3893,336.635,46.2679,337.6458,336.635,335.6242
2023-05-30 09:30:00,335.23,335.74,332.88,335.53,4039489.0,-0.4864,336.553,48.6542,337.6401,336.553,335.4659
2023-05-30 09:45:00,335.56,335.58,330.58,331.85,2107766.0,-1.3555,336.325,31.6431,338.6474,336.325,334.0026
2023-05-30 10:00:00,331.8,332.131,330.59,331.15,1311465.0,-1.546,336.065,29.5728,339.3021,336.065,332.8279
2023-05-30 10:15:00,331.2,331.867,330.74,331.841,1194555.0,-1.2437,335.856,34.0559,339.5806,335.856,332.1315
2023-05-30 10:30:00,331.85,333.14,331.608,332.65,958524.0,-1.1147,335.6686,38.8529,339.6345,335.6686,331.7026
2023-05-30 10:45:00,332.63,334.21,332.53,333.03,866213.0,-1.0165,335.4975,40.9758,339.6063,335.4975,331.3888
2023-05-30 11:00:00,333.04,333.43,332.69,333.215,733412.0,-0.9291,335.3413,42.0076,339.5465,335.3413,331.1361
2023-05-30 11:15:00,333.2,333.21,331.65,332.92,715885.0,-1.0551,335.1638,40.8102,339.4622,335.1638,330.8654
2023-05-30 11:30:00,332.915,333.49,332.63,333.142,574093.0,-1.0567,334.9859,42.1172,339.3096,334.9859,330.6622
2023-05-30 11:45:00,333.146,333.3,332.4,332.455,455162.0,-1.2109,334.7821,39.2909,339.1791,334.7821,330.3852
2023-05-30 12:00:00,332.506,332.506,331.31,331.8,817569.0,-1.4699,334.5346,36.8118,339.0171,334.5346,330.0522
2023-05-30 12:15:00,331.81,332.31,331.65,331.8,769467.0,-1.4875,334.2841,36.8118,338.7898,334.2841,329.7785
2023-05-30 12:30:00,331.795,332.45,331.47,331.84,635034.0,-1.572,334.0191,37.0804,338.4445,334.0191,329.5938
2023-05-30 12:45:00,331.83,332.24,331.69,332.186,564471.0,-1.5308,333.7609,39.4253,337.9765,333.7609,329.5454
2023-05-30 13:00:00,332.185,332.59,331.84,332.44,680597.0,-1.5663,333.4964,41.1209,337.3291,333.4964,329.6638
2023-05-30 13:15:00,332.427,332.52,331.6,331.6,448166.0,-1.5586,333.2339,37.4697,336.8233,333.2339,329.6446
2023-05-30 13:30:00,331.61,331.85,330.83,331.01,593792.0,-1.6753,332.9519,35.1614,336.3017,332.9519,329.6022
2023-05-30 13:45:00,330.97,331.5,330.71,330.83,502102.0,-1.7288,332.6609,34.4793,335.6688,332.6609,329.6531
2023-05-30 14:00:00,330.84,331.5,330.53,331.39,615190.0,-1.5829,332.3944,38.3933,334.8009,332.3944,329.988
2023-05-30 14:15:00,331.4,332.31,331.275,332.17,552371.0,-0.9069,332.2424,43.3544,334.273,332.2424,330.2119
2023-05-30 14:30:00,332.18,332.95,332.11,332.88,533447.0,-0.7898,332.1099,47.4122,333.5145,332.1099,330.7054
2023-05-30 14:45:00,332.88,333.02,332.23,332.43,545011.0,0.1748,332.1389,45.2496,333.5448,332.1389,330.7331
2023-05-30 15:00:00,332.43,332.58,332.12,332.33,507144.0,0.3563,332.1979,44.772,333.5299,332.1979,330.866
2023-05-30 15:15:00,332.32,332.8,332.031,332.67,411987.0,0.2498,332.2394,46.7826,333.576,332.2394,330.9028
2023-05-30 15:30:00,332.67,333.092,331.905,331.93,665783.0,-0.2164,332.2034,43.181,333.5325,332.2034,330.8743
2023-05-30 15:45:00,331.92,332.11,330.52,331.22,2274482.0,-0.5435,332.1129,40.0657,333.451,332.1129,330.7748
2023-05-30 16:00:00,331.23,334.647,330.71,331.47,8266176.0,-0.5237,332.0256,41.6266,333.2905,332.0256,330.7608
2023-05-30 16:15:00,331.21,332.299,331.12,331.4,10985.0,-0.4566,331.9496,41.3095,333.1724,331.9496,330.7269
2023-05-30 16:30:00,331.4,331.45,331.21,331.39,6086.0,-0.5259,331.862,41.2623,332.9768,331.862,330.7473
2023-05-30 16:45:00,331.44,331.65,331.21,331.3,12630.0,-0.3474,331.8043,40.8198,332.9099,331.8043,330.6987
2023-05-30 17:00:00,331.22,331.37,331.22,331.32,3059.0,-0.1447,331.7803,40.9679,332.9058,331.7803,330.6548
2023-05-30 17:15:00,331.32,331.42,331.21,331.42,28130.0,-0.1145,331.7613,41.7352,332.8976,331.7613,330.625
2023-05-30 17:30:00,331.35,331.42,331.11,331.16,7329.0,-0.2049,331.7273,40.3015,332.8925,331.7273,330.5621
2023-05-30 17:45:00,331.17,331.21,331.0,331.0,4525.0,-0.357,331.668,39.4243,332.8543,331.668,330.4817
2023-05-30 18:00:00,331.18,331.42,331.0,331.42,2126.0,-0.3068,331.617,42.861,332.7528,331.617,330.4812
2023-05-30 18:15:00,331.398,331.42,331.01,331.41,1515.0,-0.0573,331.6075,42.8001,332.7469,331.6075,330.4681
